country_name,country_iso,region_slug,region_name,region_type,population,timezone,region_shapefile_wkt,osm_length,daily_coef_var,daily_coef_var_weekend,daily_coef_var_weekday,weekend_osm_ratio,weekday_osm_ratio,daily_approved,weekly_approved
Guatemala,GT,country_guatemala,Guatemala,country,17915567,America/Guatemala,"MULTIPOLYGON (((-92.2393264773401 14.5412517882152, -92.05933 15.069636, -92.210531 15.260619, -91.73151799999999 16.073893, -90.426501 16.09888, -90.389878 16.413297, -90.631162 16.478371, -90.714251 16.727064, -91.43455400000001 17.232897, -90.987447 17.251299, -90.98771600000001 17.815344, -89.151901 17.815629, -89.225002 15.888006, -88.8170823365558 15.8745852126388, -88.6087490168769 15.6995852006832, -88.55041568736689 15.8579185448335, -88.62541568245121 15.9412518838599, -88.6087490168769 15.9745852194705, -88.233749041455 15.7327408297759, -89.15359599999999 15.068276, -89.159834 14.573761, -89.573916 14.416928, -89.525447 14.219981, -90.023241 13.939036, -90.12541558413891 13.739443650725, -90.58374888743241 13.9162517455167, -91.3254155054891 13.9495850811272, -92.2393264773401 14.5412517882152)))",56642393.98,0.257001249,0.335916809,0.253104806,0.958859378,1.153470167,TRUE,TRUE
Colombia,CO,barranquilla,Barranquilla,city,1931750,America/Bogota,"POLYGON ((-74.83374991971161 11.04958488300598, -74.82541658692446 11.04958488300598, -74.82541658692446 11.04125154910333, -74.80874992135016 11.04125154910333, -74.80874992135016 11.03291821520068, -74.800416588563 11.03291821520068, -74.800416588563 11.02458488129804, -74.78374992298869 11.02458488129804, -74.78374992298869 11.01625154739539, -74.77541659020153 11.01625154739539, -74.77541659020153 10.99958487959009, -74.76708325741438 10.99958487959009, -74.76708325741438 10.99125154568745, -74.75041659184008 10.99125154568745, -74.75041659184008 10.97458487788215, -74.75874992462724 10.97458487788215, -74.75874992462724 10.93291820836891, -74.75041659184008 10.93291820836891, -74.75041659184008 10.92458487446627, -74.73374992626577 10.92458487446627, -74.73374992626577 10.89125153885568, -74.74208325905292 10.89125153885568, -74.74208325905292 10.88291820495303, -74.75041659184008 10.88291820495303, -74.75041659184008 10.87458487105038, -74.75874992462724 10.87458487105038, -74.75874992462724 10.86625153714774, -74.76708325741438 10.86625153714774, -74.76708325741438 10.85791820324509, -74.75874992462724 10.85791820324509, -74.75874992462724 10.8412515354398, -74.75041659184008 10.8412515354398, -74.75041659184008 10.83291820153715, -74.75874992462724 10.83291820153715, -74.75874992462724 10.8245848676345, -74.78374992298869 10.8245848676345, -74.78374992298869 10.83291820153715, -74.800416588563 10.83291820153715, -74.800416588563 10.8412515354398, -74.80874992135016 10.8412515354398, -74.80874992135016 10.86625153714774, -74.82541658692446 10.86625153714774, -74.82541658692446 10.87458487105038, -74.83374991971161 10.87458487105038, -74.83374991971161 10.90791820666097, -74.84208325249877 10.90791820666097, -74.84208325249877 10.91625154056362, -74.85041658528593 10.91625154056362, -74.85041658528593 10.93291820836891, -74.85874991807307 10.93291820836891, -74.85874991807307 10.94125154227156, -74.86708325086023 10.94125154227156, -74.86708325086023 10.94958487617421, -74.87541658364739 10.94958487617421, -74.87541658364739 10.95791821007685, -74.88374991643454 10.95791821007685, -74.88374991643454 10.97458487788215, -74.87541658364739 10.97458487788215, -74.87541658364739 10.99125154568745, -74.86708325086023 10.99125154568745, -74.86708325086023 10.99958487959009, -74.88374991643454 10.99958487959009, -74.88374991643454 11.00791821349274, -74.89208324922168 11.00791821349274, -74.89208324922168 11.03291821520068, -74.88374991643454 11.03291821520068, -74.88374991643454 11.04125154910333, -74.85041658528593 11.04125154910333, -74.85041658528593 11.03291821520068, -74.84208325249877 11.03291821520068, -74.84208325249877 11.04125154910333, -74.83374991971161 11.04125154910333, -74.83374991971161 11.04958488300598), (-74.75041659184008 10.88291820495303, -74.75041659184008 10.89125153885568, -74.75874992462724 10.89125153885568, -74.75874992462724 10.88291820495303, -74.75041659184008 10.88291820495303))",2609150.59,0.316391898,0.41002396,0.346008344,3.327033619,4.944915717,TRUE,TRUE
Argentina,AR,buenosaires,Buenos Aires,city,14338718,America/Argentina/Buenos_Aires,"POLYGON ((-58.75041764050466 -34.36708488642186, -58.73375097493036 -34.36708488642186, -58.71708430935605 -34.39208488812979, -58.66708431263314 -34.40041822203245, -58.63375098148451 -34.44208489154568, -58.6170843159102 -34.44208489154568, -58.6170843159102 -34.41708488983775, -58.65041764705882 -34.40041822203245, -58.64208431427167 -34.38375155422715, -58.50875098967721 -34.44208489154568, -58.47541765852858 -34.48375156105892, -58.46708432574144 -34.52541823057216, -58.37541766508275 -34.5670849000854, -58.30041766999837 -34.67541824081982, -58.22541767491397 -34.70041824252775, -58.19208434376536 -34.75041824594364, -58.13375101425528 -34.78375158155422, -58.18375101097821 -34.84208491887275, -58.17541767819105 -34.87541825448334, -58.20875100933966 -34.883751588386, -58.20875100933966 -34.85041825277541, -58.2587510060626 -34.85041825277541, -58.28375100442405 -34.87541825448334, -58.32541766835982 -34.82541825106747, -58.35041766672128 -34.84208491887275, -58.35041766672128 -34.8670849205807, -58.33375100114698 -34.87541825448334, -58.35041766672128 -34.91708492399658, -58.39208433065706 -34.94208492570453, -58.41708432901852 -34.92541825789923, -58.43375099459283 -34.85041825277541, -58.48375099131574 -34.85875158667805, -58.4920843241029 -34.87541825448334, -58.55041765361298 -34.87541825448334, -58.55875098640013 -34.85041825277541, -58.50875098967721 -34.80041824935952, -58.51708432246436 -34.75041824594364, -58.55041765361298 -34.75041824594364, -58.56708431918729 -34.77541824765158, -58.58375098476159 -34.77541824765158, -58.63375098148451 -34.85041825277541, -58.65875097984598 -34.85875158667805, -58.66708431263314 -34.79208491545688, -58.69208431099459 -34.75875157984628, -58.71708430935605 -34.76708491374892, -58.75875097329182 -34.71708491033305, -58.79208430444044 -34.75041824594364, -58.8170843028019 -34.75041824594364, -58.82541763558905 -34.72541824423569, -58.80875097001474 -34.68375157472246, -58.84208430116337 -34.67541824081982, -58.84208430116337 -34.65041823911186, -58.9254176290349 -34.61708490350127, -58.97541762575783 -34.61708490350127, -58.95875096018352 -34.58375156789069, -58.89208429788629 -34.61708490350127, -58.78375097165329 -34.59208490179333, -58.78375097165329 -34.55875156618274, -58.8170843028019 -34.55875156618274, -58.83375096837621 -34.50041822886421, -58.85041763395051 -34.50875156276687, -58.85875096673767 -34.48375156105892, -58.80875097001474 -34.48375156105892, -58.83375096837621 -34.45041822544834, -58.79208430444044 -34.43375155764304, -58.79208430444044 -34.40875155593509, -58.75041764050466 -34.36708488642186), (-58.62541764869736 -34.53375156447481, -58.60875098312306 -34.50875156276687, -58.67541764542028 -34.52541823057216, -58.65875097984598 -34.5504182322801, -58.63375098148451 -34.5504182322801, -58.62541764869736 -34.53375156447481))",30336808.08,0.326066345,0.231131458,0.423715003,1.914411327,2.969939266,TRUE,TRUE
Venezuela,VE,caracas,Caracas,city,2408266,America/Caracas,"POLYGON ((-67.00833333335606 10.39999999997973, -67.01666666668942 10.39999999997973, -67.01666666668942 10.40833333331307, -67.02500000003022 10.40833333330649, -67.02500000002266 10.41666666664649, -67.03333333336349 10.41666666663974, -67.03333333336349 10.4249999999731, -67.02500000002595 10.4249999999769, -67.02500000003386 10.43333333330305, -67.00833333335936 10.43333333331016, -67.00833333336362 10.44166666663969, -66.99166666669259 10.44166666664351, -66.99166666669259 10.44999999997685, -67.01666666669678 10.44999999997312, -67.01666666669252 10.46666666664353, -67.02500000003022 10.46666666663972, -67.02500000003022 10.48333333330649, -67.00833333335606 10.48333333331315, -67.00833333336362 10.49166666663974, -66.9833333333635 10.49166666663974, -66.98333333335924 10.52499999997694, -67.00000000003391 10.52499999996984, -67.00000000003391 10.53333333330318, -66.98333333335603 10.53333333331312, -66.9833333333635 10.54166666663973, -66.97500000003612 10.54166666663448, -66.97500000002589 10.53333333331028, -66.91666666669684 10.53333333330637, -66.91666666668939 10.52499999997978, -66.89166666669689 10.52499999997312, -66.89166666669254 10.51666666664352, -66.82500000003023 10.51666666663978, -66.82500000002278 10.508333333313, -66.78333333335615 10.508333333313, -66.78333333335615 10.49999999997975, -66.75833333336359 10.499999999973, -66.75833333335933 10.49166666664348, -66.72500000002276 10.49166666664632, -66.72500000003402 10.48333333330304, -66.75833333335603 10.48333333331315, -66.75833333335603 10.47499999997973, -66.75000000002277 10.47499999997973, -66.75000000003405 10.45833333330317, -66.75833333335933 10.45833333331028, -66.75833333336359 10.44999999997312, -66.76666666668939 10.4499999999797, -66.76666666668939 10.45833333331312, -66.77500000002271 10.45833333331312, -66.77500000002271 10.4499999999797, -66.81666666668943 10.4499999999797, -66.81666666668943 10.44166666664636, -66.80833333336355 10.44166666663969, -66.80833333335929 10.43333333331016, -66.80000000003403 10.43333333330305, -66.80000000002596 10.4249999999769, -66.79166666669695 10.4249999999731, -66.79166666668939 10.41666666664649, -66.81666666669273 10.41666666664365, -66.81666666669699 10.40833333330649, -66.83333333335602 10.40833333331307, -66.83333333335602 10.41666666664649, -66.84166666668938 10.41666666664649, -66.84166666669694 10.43333333330635, -66.85000000002591 10.43333333331016, -66.85000000003018 10.4249999999731, -66.86666666669259 10.4249999999769, -66.86666666670061 10.41666666663654, -66.87500000003021 10.41666666663974, -66.87500000002595 10.4249999999769, -66.89166666669689 10.4249999999731, -66.89166666669254 10.44166666664351, -66.91666666668939 10.44166666664636, -66.91666666668939 10.433333333313, -66.90833333335604 10.433333333313, -66.90833333336349 10.4249999999731, -66.91666666669258 10.4249999999769, -66.91666666670056 10.41666666663654, -66.93333333335926 10.41666666664365, -66.93333333336949 10.3999999999679, -66.9416666666927 10.39999999997688, -66.94166666670282 10.39166666663448, -66.95000000002597 10.39166666664353, -66.95000000002597 10.38333333331028, -66.94166666670282 10.38333333330114, -66.9416666666894 10.3583333333131, -66.95000000003404 10.35833333330315, -66.95000000002597 10.3666666666436, -66.96666666669256 10.3666666666436, -66.96666666668935 10.34999999997974, -66.98333333335603 10.34999999997974, -66.98333333335603 10.34166666664649, -67.00833333336726 10.34166666663654, -67.00833333335936 10.3499999999769, -67.01666666669252 10.3499999999769, -67.01666666670053 10.34166666663654, -67.02500000002266 10.34166666664649, -67.02500000002266 10.32499999997972, -67.05000000003025 10.32499999997314, -67.05000000002269 10.33333333331315, -67.08333333335599 10.33333333331315, -67.08333333335599 10.32499999997972, -67.09166666668932 10.32499999997972, -67.09166666668932 10.33333333331315, -67.10000000002276 10.33333333331315, -67.10000000002276 10.34166666664649, -67.11666666668935 10.34166666664649, -67.11666666668935 10.36666666664644, -67.12500000002262 10.36666666664644, -67.12500000002262 10.37499999997986, -67.13333333335595 10.37499999997986, -67.13333333335595 10.39166666664637, -67.11666666669257 10.39166666664353, -67.11666666670064 10.39999999996978, -67.06666666669685 10.39999999997306, -67.06666666670057 10.38333333330317, -67.07500000002585 10.38333333331028, -67.07500000002585 10.37499999997702, -67.06666666670057 10.37499999996992, -67.06666666670279 10.36666666663453, -67.07500000002585 10.3666666666436, -67.07500000002585 10.35833333331026, -67.05000000002599 10.35833333331026, -67.05000000003611 10.36666666663453, -67.00833333335936 10.3666666666436, -67.00833333336726 10.37499999996992, -66.99166666669259 10.37499999997702, -66.99166666669686 10.38333333330637, -67.00000000003018 10.38333333330637, -67.00000000002274 10.39166666664637, -67.00833333336362 10.39166666663972, -67.00833333335606 10.39999999997973))",3187648.73,0.758516148,0.980439502,1.737157717,0.571506133,1.639975342,FALSE,FALSE
Brasil,BR,br_states_maranhao,Maranhao,state,,,"POLYGON ((-45.84073319904228 -1.045484730909404, -45.8601919047795 -1.283962554524587, -45.67838978013814 -1.140682298019368, -45.74599682218547 -1.237338543931085, -45.68562912367259 -1.332698107686263, -45.61585113283621 -1.115875897231263, -45.56965054764505 -1.375109629219571, -45.41015666190793 -1.28963663576981, -45.44399789202301 -1.543322282269848, -45.31750327815639 -1.31809341477655, -45.39970527761187 -1.57235132472836, -45.29834495865835 -1.493511896225817, -45.35280828268027 -1.73661155220418, -45.15120024623691 -1.460940564767921, -45.10743323386119 -1.548975248642105, -45.10709571312059 -1.420949669051738, -45.09717219327758 -1.51358738157952, -45.07079115958729 -1.424353618327739, -45.07752150340911 -1.517332980173608, -44.94298620465446 -1.517319720396244, -44.8149562395261 -1.419245358278302, -44.90115682640256 -1.611544758524626, -44.82236871817342 -1.574856451718915, -44.79905703429381 -1.660003739369548, -44.69834820319701 -1.553260949997806, -44.73311569771496 -1.622813653652165, -44.6427469725255 -1.624256017258098, -44.78426174654872 -1.670924286580255, -44.78807337041743 -1.750476974262959, -44.69690838048077 -1.737540889977982, -44.84607561867175 -1.828700535258453, -44.5936182702666 -1.744124275894336, -44.63962921276509 -1.857506224518442, -44.52986556764689 -1.838219152993477, -44.60573570882547 -1.905745577647887, -44.48867848729972 -1.942952111090411, -44.49959784329369 -2.141763695537901, -44.39595746090452 -2.213538655990615, -44.41279242221982 -2.41305434405409, -44.32867693239029 -2.500077854050169, -44.02284230154451 -2.398249006217981, -44.11881336400878 -2.472876414136314, -43.96754843381174 -2.472658924195401, -43.9838182218682 -2.575567139780064, -43.61054071466465 -2.219584359829432, -43.49278500621176 -2.373145946558807, -43.18516724286763 -2.373511391425629, -42.48098150158465 -2.712378172740729, -41.82188734929218 -2.719941041260046, -41.79588438095231 -2.965570460588127, -42.20437465025481 -3.435766852417692, -42.49836030852228 -3.447732431527763, -42.98541847802228 -4.220714091073082, -42.84936066007852 -4.482599316150577, -42.95135800269535 -4.780173398029286, -42.79794614839378 -5.183216672930692, -42.82462308346176 -5.345643723573805, -43.09914463083268 -5.630281876603592, -43.0750020393244 -6.054707604535125, -42.82933289075918 -6.337421360548299, -42.91977511319382 -6.670309361884661, -43.42003813471437 -6.843834108066179, -43.71499008160056 -6.698733290265971, -44.03339327564559 -6.760404076426472, -44.30620035678546 -7.117170609856887, -44.56359238235734 -7.226950981241731, -44.68797801321401 -7.394532644918963, -44.81673283944029 -7.361205000580729, -45.45854642335021 -7.672376416841638, -45.76563715695449 -8.609577232198317, -45.99429483750645 -8.9268653363529, -45.78314377353117 -9.479776175837578, -45.87734451183438 -10.10658648096472, -46.00297130829619 -10.2617647031021, -46.03124746584051 -10.17611077728082, -46.36788953042323 -10.16881414640704, -46.50944850249957 -9.80136666295518, -46.64741994218112 -9.730350401433309, -46.56097594542503 -9.48403296877115, -46.76567750001821 -9.406330942059324, -46.92162483264717 -9.066812907668382, -47.07055164009707 -9.061954214220734, -46.9148955636017 -8.853058219773384, -46.91628015684008 -8.59478377453339, -46.80683498107224 -8.398970712554545, -46.51422406009038 -8.283637719229901, -46.49030918383019 -7.983242372447461, -46.66056475048874 -7.900561682016626, -47.04350290453982 -8.05358879104252, -47.50471042160677 -7.436633658997957, -47.59029473534122 -7.440885594627985, -47.49978636199472 -7.293858349992609, -47.64771214765018 -7.304122932261204, -47.74982577027229 -7.195261748517855, -47.52995148839201 -6.980105403467631, -47.37723577508382 -6.26676831232241, -47.50012045906277 -5.525604845473704, -47.84375937108311 -5.376208749992221, -47.92810406669474 -5.241235520559504, -48.17854420168413 -5.260776075058725, -48.36390981528708 -5.168380515276692, -48.7551507366124 -5.349165408326469, -47.79256913079237 -4.586410790838041, -47.61194188131137 -4.557357881079222, -47.31942433369909 -4.047774506075795, -47.08520511697019 -3.856640016082694, -47.03884610352018 -3.562103308249047, -46.67580204601051 -3.093660003496111, -46.67964970328037 -2.881732141325706, -46.57580905254228 -2.84138769741348, -46.670393636189 -2.706409561839374, -46.4202124862365 -2.530164564727228, -46.4282128286177 -2.239733516009021, -46.27590671392196 -2.158709810975211, -46.20862119065227 -1.830885506397206, -46.32397953996809 -1.765544250795252, -46.15206062425523 -1.673602209312881, -46.1459244726199 -1.227134819125592, -45.98402938626797 -1.045121703711414, -45.9484787335354 -1.23862643369219, -45.84073319904228 -1.045484730909404))",78034986.76,0.355674688,0.352401353,0.421829684,0.376916043,0.475001466,TRUE,TRUE
Venezuela,VE,maracay,Maracay,city,1633237,,"POLYGON ((-67.5754170621006 10.34125150128095, -67.54208373095199 10.34125150128095, -67.54208373095199 10.33291816737831, -67.53375039816484 10.33291816737831, -67.53375039816484 10.29958483176772, -67.54208373095199 10.29958483176772, -67.54208373095199 10.28291816396242, -67.53375039816484 10.28291816396242, -67.53375039816484 10.26625149615713, -67.52541706537768 10.26625149615713, -67.52541706537768 10.27458483005978, -67.50041706701623 10.27458483005978, -67.50041706701623 10.26625149615713, -67.48375040144191 10.26625149615713, -67.48375040144191 10.27458483005978, -67.47541706865476 10.27458483005978, -67.47541706865476 10.28291816396242, -67.4504170702933 10.28291816396242, -67.4504170702933 10.27458483005978, -67.44208373750615 10.27458483005978, -67.44208373750615 10.24958482835184, -67.42541707193183 10.24958482835184, -67.42541707193183 10.24125149444919, -67.40041707357037 10.24125149444919, -67.40041707357037 10.23291816054654, -67.39208374078322 10.23291816054654, -67.39208374078322 10.22458482664389, -67.38375040799608 10.22458482664389, -67.38375040799608 10.2079181588386, -67.35875040963461 10.2079181588386, -67.35875040963461 10.23291816054654, -67.35041707684745 10.23291816054654, -67.35041707684745 10.24125149444919, -67.34208374406029 10.24125149444919, -67.34208374406029 10.24958482835184, -67.325417078486 10.24958482835184, -67.325417078486 10.25791816225448, -67.30875041291168 10.25791816225448, -67.30875041291168 10.24958482835184, -67.26708374897592 10.24958482835184, -67.26708374897592 10.24125149444919, -67.25875041618876 10.24125149444919, -67.25875041618876 10.23291816054654, -67.26708374897592 10.23291816054654, -67.26708374897592 10.22458482664389, -67.29208374733737 10.22458482664389, -67.29208374733737 10.21625149274125, -67.30041708012453 10.21625149274125, -67.30041708012453 10.19958482493595, -67.30875041291168 10.19958482493595, -67.30875041291168 10.1912514910333, -67.35875040963461 10.1912514910333, -67.35875040963461 10.17458482322801, -67.36708374242176 10.17458482322801, -67.36708374242176 10.16625148932536, -67.37541707520892 10.16625148932536, -67.37541707520892 10.15791815542271, -67.38375040799608 10.15791815542271, -67.38375040799608 10.14958482152007, -67.39208374078322 10.14958482152007, -67.39208374078322 10.14125148761742, -67.40041707357037 10.14125148761742, -67.40041707357037 10.14958482152007, -67.40875040635753 10.14958482152007, -67.40875040635753 10.15791815542271, -67.41708373914469 10.15791815542271, -67.41708373914469 10.14958482152007, -67.42541707193183 10.14958482152007, -67.42541707193183 10.14125148761742, -67.43375040471899 10.14125148761742, -67.43375040471899 10.13291815371477, -67.4504170702933 10.13291815371477, -67.4504170702933 10.14125148761742, -67.48375040144191 10.14125148761742, -67.48375040144191 10.14958482152007, -67.49208373422907 10.14958482152007, -67.49208373422907 10.14125148761742, -67.50041706701623 10.14125148761742, -67.50041706701623 10.14958482152007, -67.51708373259052 10.14958482152007, -67.51708373259052 10.15791815542271, -67.53375039816484 10.15791815542271, -67.53375039816484 10.14958482152007, -67.58375039488776 10.14958482152007, -67.58375039488776 10.16625148932536, -67.59208372767492 10.16625148932536, -67.59208372767492 10.18291815713066, -67.60041706046206 10.18291815713066, -67.60041706046206 10.1912514910333, -67.60875039324922 10.1912514910333, -67.60875039324922 10.2079181588386, -67.61708372603638 10.2079181588386, -67.61708372603638 10.21625149274125, -67.63375039161068 10.21625149274125, -67.63375039161068 10.22458482664389, -67.650417057185 10.22458482664389, -67.650417057185 10.23291816054654, -67.65875038997214 10.23291816054654, -67.65875038997214 10.24125149444919, -67.66708372275929 10.24125149444919, -67.66708372275929 10.26625149615713, -67.65875038997214 10.26625149615713, -67.65875038997214 10.27458483005978, -67.650417057185 10.27458483005978, -67.650417057185 10.31625149957301, -67.64208372439784 10.31625149957301, -67.64208372439784 10.32458483347566, -67.62541705882353 10.32458483347566, -67.62541705882353 10.31625149957301, -67.61708372603638 10.31625149957301, -67.61708372603638 10.30791816567037, -67.60875039324922 10.30791816567037, -67.60875039324922 10.29958483176772, -67.59208372767492 10.29958483176772, -67.59208372767492 10.30791816567037, -67.58375039488776 10.30791816567037, -67.58375039488776 10.33291816737831, -67.5754170621006 10.33291816737831, -67.5754170621006 10.34125150128095), (-67.38375040799608 10.2079181588386, -67.40041707357037 10.2079181588386, -67.40041707357037 10.1912514910333, -67.39208374078322 10.1912514910333, -67.39208374078322 10.19958482493595, -67.38375040799608 10.19958482493595, -67.38375040799608 10.2079181588386))",2610986.515,0.731337311,0.76809242,0.890215221,0.044820949,0.056397856,FALSE,FALSE
Dominican Republic,DO,country_dominican_republic,República Dominicana,country,10847904,America/Santo_Domingo,"POLYGON ((-72.05747100000001 19.953058, -70.979051 21.148919, -70.491659 21.291816, -69.813805 21.06766, -69.38743700000001 20.834906, -68.597116 20.051408, -68.11870500000001 18.695053, -68.122604 18.534386, -68.50108899999999 17.921975, -70.11225399999999 18.023073, -71.545984 17.291607, -71.718896 17.283283, -71.844201 17.404712, -71.939688 17.841035, -71.744005 18.053109, -71.788066 18.180586, -71.69602 18.340637, -71.90431599999999 18.456977, -72.011472 18.621471, -71.815729 18.630129, -71.737955 18.722193, -71.72229799999999 18.878448, -71.88645699999999 18.959283, -71.621748 19.206596, -71.782734 19.329518, -71.678286 19.444757, -71.773662 19.731261, -72.05747100000001 19.953058))",40475541.5,0.29541767,0.352177804,0.322965163,0.847947464,1.276294418,TRUE,TRUE
Brasil,BR,saopaulo,São Paulo,city,21001688,America/Sao_Paulo,"POLYGON ((-46.75875175979027 -23.2420841263877, -46.73375176142881 -23.2420841263877, -46.69208509749303 -23.27541746199829, -46.69208509749303 -23.33375079931682, -46.72541842864165 -23.35041746712211, -46.70041843028019 -23.38375080273271, -46.7170850958545 -23.400417470538, -46.70041843028019 -23.43375080614859, -46.63375176798296 -23.44208414005124, -46.57541843847288 -23.39208413663535, -46.46708511223989 -23.39208413663535, -46.45875177945273 -23.36708413492741, -46.42541844830411 -23.38375080273271, -46.3920851171555 -23.37541746883006, -46.37541845158118 -23.400417470538, -46.34208512043257 -23.39208413663535, -46.33375178764543 -23.37541746883006, -46.3004184564968 -23.37541746883006, -46.29208512370965 -23.400417470538, -46.30875178928396 -23.41708413834329, -46.28375179092249 -23.43375080614859, -46.26708512534819 -23.47541747566183, -46.27541845813535 -23.52541747907771, -46.25041845977388 -23.53375081298036, -46.19208513026381 -23.48375080956448, -46.14208513354089 -23.48375080956448, -46.12541846796657 -23.51708414517506, -46.20041846305097 -23.57541748249359, -46.27541845813535 -23.5587508146883, -46.3004184564968 -23.60041748420154, -46.35875178600688 -23.57541748249359, -46.3920851171555 -23.60875081810418, -46.40875178272981 -23.65041748761742, -46.3920851171555 -23.67541748932536, -46.35875178600688 -23.68375082322801, -46.38375178436834 -23.70875082493595, -46.38375178436834 -23.77541749615713, -46.40875178272981 -23.76708416225448, -46.41708511551695 -23.73375082664389, -46.45875177945273 -23.70875082493595, -46.48375177781419 -23.73375082664389, -46.5004184433885 -23.72541749274124, -46.53375177453711 -23.76708416225448, -46.60875176962149 -23.78375083005977, -46.60875176962149 -23.75875082835184, -46.66708509913157 -23.7170841588386, -46.65041843355726 -23.75875082835184, -46.67541843191873 -23.80041749786507, -46.7170850958545 -23.79208416396242, -46.69208509749303 -23.81708416567037, -46.69208509749303 -23.8587508351836, -46.72541842864165 -23.86708416908625, -46.72541842864165 -23.84208416737831, -46.74208509421597 -23.84208416737831, -46.75875175979027 -23.80875083176772, -46.7170850958545 -23.7170841588386, -46.72541842864165 -23.68375082322801, -46.74208509421597 -23.69208415713066, -46.73375176142881 -23.70875082493595, -46.75041842700311 -23.70875082493595, -46.77541842536458 -23.76708416225448, -46.81708508930035 -23.75041749444919, -46.81708508930035 -23.70875082493595, -46.85875175323612 -23.74208416054654, -46.88375175159757 -23.7170841588386, -46.88375175159757 -23.65875082152007, -46.85875175323612 -23.61708415200683, -46.95041841389481 -23.62541748590948, -46.95875174668195 -23.60875081810418, -46.9337517483205 -23.58375081639624, -46.97541841225626 -23.56708414859094, -46.99208507783058 -23.54208414688301, -46.98375174504342 -23.51708414517506, -46.91708508274618 -23.49208414346712, -46.89208508438473 -23.44208414005124, -46.8420850876618 -23.45875080785653, -46.83375175487465 -23.47541747566183, -46.80041842372604 -23.46708414175918, -46.81708508930035 -23.42541747224594, -46.86708508602327 -23.41708413834329, -46.87541841881043 -23.400417470538, -46.83375175487465 -23.39208413663535, -46.78375175815172 -23.41708413834329, -46.78375175815172 -23.39208413663535, -46.76708509257742 -23.38375080273271, -46.77541842536458 -23.32541746541418, -46.75875175979027 -23.31708413151153, -46.77541842536458 -23.258750794193, -46.75875175979027 -23.2420841263877))",31789584.91,0.376360681,0.362961609,0.495591088,3.598481661,6.749692551,TRUE,TRUE
Brasil,BR,manaus,Manaus,city,1857150,America/Manaus,"POLYGON ((-60.03375088972636 -2.95874940734415, -60.0087508913649 -2.95874940734415, -60.0087508913649 -2.967082741246799, -59.98375089300345 -2.967082741246799, -59.98375089300345 -2.975416075149447, -59.97541756021629 -2.975416075149447, -59.97541756021629 -2.983749409052095, -59.96708422742913 -2.983749409052095, -59.96708422742913 -2.992082742954743, -59.92541756349337 -2.992082742954743, -59.92541756349337 -3.000416076857384, -59.91708423070621 -3.000416076857384, -59.91708423070621 -3.008749410760032, -59.90875089791905 -3.008749410760032, -59.90875089791905 -3.050416080273273, -59.9004175651319 -3.050416080273273, -59.9004175651319 -3.083749415883858, -59.90875089791905 -3.083749415883858, -59.90875089791905 -3.100416083689154, -59.91708423070621 -3.100416083689154, -59.91708423070621 -3.117082751494451, -59.92541756349337 -3.117082751494451, -59.92541756349337 -3.125416085397099, -59.93375089628051 -3.125416085397099, -59.93375089628051 -3.133749419299747, -59.94208422906767 -3.133749419299747, -59.94208422906767 -3.150416087105036, -59.97541756021629 -3.150416087105036, -59.97541756021629 -3.158749421007684, -60.00041755857775 -3.158749421007684, -60.00041755857775 -3.150416087105036, -60.01708422415206 -3.150416087105036, -60.01708422415206 -3.142082753202388, -60.03375088972636 -3.142082753202388, -60.03375088972636 -3.133749419299747, -60.04208422251352 -3.133749419299747, -60.04208422251352 -3.125416085397099, -60.05041755530067 -3.125416085397099, -60.05041755530067 -3.117082751494451, -60.06708422087497 -3.117082751494451, -60.06708422087497 -3.108749417591802, -60.07541755366213 -3.108749417591802, -60.07541755366213 -3.092082749786506, -60.08375088644928 -3.092082749786506, -60.08375088644928 -3.083749415883858, -60.09208421923644 -3.083749415883858, -60.09208421923644 -3.067082748078562, -60.1004175520236 -3.067082748078562, -60.1004175520236 -3.058749414175921, -60.09208421923644 -3.058749414175921, -60.09208421923644 -3.042082746370625, -60.08375088644928 -3.042082746370625, -60.08375088644928 -3.025416078565328, -60.07541755366213 -3.025416078565328, -60.07541755366213 -3.01708274466268, -60.06708422087497 -3.01708274466268, -60.06708422087497 -3.008749410760032, -60.05041755530067 -3.008749410760032, -60.05041755530067 -2.992082742954743, -60.04208422251352 -2.992082742954743, -60.04208422251352 -2.967082741246799, -60.03375088972636 -2.967082741246799, -60.03375088972636 -2.95874940734415))",3628141.947,0.364922258,0.383328132,0.459344417,2.598712939,4.984916296,TRUE,TRUE
